en	lt	lv	pl	de	ru	uk
Random number	Atsitiktinis skaičius	Nejaušs skaitlis	Losowa liczba	Zufallszahl	Случайное число	Випадкове число
Range	Plotis	Diapazons	Rozstęp	Spannweite	Размах	Розмах
Remove last	Išimti paskutinį	Noņemt pēdējo	Usuń ostatni	Letzten entfernen	Удалить последнее	Видалити останнє
Result	Rezultatas	Rezultāts	Wynik	Ergebnis	Результат	Результат
Result in words	Rezultatas žodžiais	Rezultāts vārdos	Wynik słownie	Ergebnis in Worten	Результат словами	Результат словами
Salary (Lithuania)	Atlyginimas (Lietuva)	Alga (Lietuva)	Pensja (Litwa)	Gehalt (Litauen)	Зарплата (Литва)	Зарплата (Литва)
Savings deposit	Indėlio palūkanos	Noguldījuma procenti	Lokata	Sparanlage	Вклад	Депозит
Space	Tarpas	Atstarpe	Spacja	Leerzeichen	Пробел	Пробіл
Split the bill	Sąskaitos dalijimas	Rēķina dalīšana	Podział rachunku	Rechnung teilen	Разделить счёт	Розділити рахунок
Statistics	Statistika	Statistika	Statystyka	Statistik	Статистика	Статистика
Std. deviation (population)	Standartinis nuokrypis (visuma)	Standartnovirze (populācija)	Odchylenie std. (populacja)	Standardabw. (Grundgesamtheit)	Станд. отклонение (генеральное)	Станд. відхилення (генеральне)
Std. deviation (sample)	Standartinis nuokrypis (imtis)	Standartnovirze (izlase)	Odchylenie std. (próba)	Standardabw. (Stichprobe)	Станд. отклонение (выборка)	Станд. відхилення (вибірка)
Subtract	Atimti	Atņemt	Odejmij	Subtrahieren	Вычесть	Відняти
Sum	Suma	Summa	Suma	Summe	Сумма	Сума
Systems of equations	Lygčių sistemos	Vienādojumu sistēmas	Układy równań	Gleichungssysteme	Системы уравнений	Системи рівнянь
Tails	Skaičius	Cipars	Reszka	Zahl	Решка	Решка
Tap a result to use it in the calculator.	Bakstelėkite rezultatą, kad perkeltumėte jį į skaičiuotuvą.	Pieskarieties rezultātam, lai to izmantotu kalkulatorā.	Dotknij wyniku, aby użyć go w kalkulatorze.	Tippe auf ein Ergebnis, um es im Rechner zu verwenden.	Нажмите на результат, чтобы перенести его в калькулятор.	Торкніться результату, щоб перенести його в калькулятор.
Tax-free amount (NPD)	Neapmokestinamas dydis (NPD)	Neapliekamais minimums	Kwota wolna (NPD)	Freibetrag (NPD)	Необлагаемая сумма (NPD)	Неоподатковувана сума (NPD)
Time	Laikas	Laiks	Czas	Zeit	Время	Час
Time calculator	Laiko skaičiuoklė	Laika kalkulators	Kalkulator czasu	Zeitrechner	Калькулятор времени	Калькулятор часу
Tip 0%	Arbatpinigiai 0 %	Dzeramnauda 0 %	Napiwek 0%	Trinkgeld 0 %	Чаевые 0 %	Чайові 0 %
Tip 10%	Arbatpinigiai 10 %	Dzeramnauda 10 %	Napiwek 10%	Trinkgeld 10 %	Чаевые 10 %	Чайові 10 %
Tip 15%	Arbatpinigiai 15 %	Dzeramnauda 15 %	Napiwek 15%	Trinkgeld 15 %	Чаевые 15 %	Чайові 15 %
Tip 5%	Arbatpinigiai 5 %	Dzeramnauda 5 %	Napiwek 5%	Trinkgeld 5 %	Чаевые 5 %	Чайові 5 %
To	Iki	Līdz	Do	Bis	До	До
Tools	Įrankiai	Rīki	Narzędzia	Werkzeuge	Инструменты	Інструменти
Total paid	Iš viso sumokėta	Kopā samaksāts	Łącznie zapłacono	Insgesamt gezahlt	Всего выплачено	Всього сплачено
Trip cost	Kelionės kaina	Ceļa izmaksas	Koszt podróży	Reisekosten	Стоимость поездки	Вартість поїздки
Type an expression with x in the calculator (e.g. x² − 2x − 3), then open Graph.	Skaičiuotuve įveskite išraišką su x (pvz. x² − 2x − 3), tada atidarykite grafiką.	Kalkulatorā ievadiet izteiksmi ar x (piem. x² − 2x − 3), tad atveriet grafiku.	Wpisz w kalkulatorze wyrażenie z x (np. x² − 2x − 3), potem otwórz wykres.	Gib im Rechner einen Ausdruck mit x ein (z. B. x² − 2x − 3) und öffne dann den Graphen.	Введите в калькуляторе выражение с x (напр. x² − 2x − 3), затем откройте график.	Введіть у калькуляторі вираз з x (напр. x² − 2x − 3), потім відкрийте графік.
Underweight	Per mažas svoris	Nepietiekams svars	Niedowaga	Untergewicht	Недостаточный вес	Недостатня вага
VSD 12.52%	VSD 12,52 %	VSD 12,52 %	VSD 12,52%	VSD 12,52 %	VSD 12,52 %	VSD 12,52 %
Value	Reikšmė	Vērtība	Wartość	Wert	Значение	Значення
Weeks	Savaitės	Nedēļas	Tygodnie	Wochen	Недели	Тижні
Weight kg	Svoris kg	Svars kg	Waga kg	Gewicht kg	Вес кг	Вага кг
X is what % of Y	Kiek % sudaro X nuo Y	Cik % X ir no Y	Ile % Y stanowi X	X ist wie viel % von Y	Сколько % X от Y	Скільки % X від Y
Year	Metai	Gads	Rok	Jahr	Год	Рік
Year 2	Metai 2	Gads 2	Rok 2	Jahr 2	Год 2	Рік 2
Yearly compounding	Kas metus	Katru gadu	Co rok	Jährlich	Ежегодно	Щороку
Years	Metai	Gadi	Lata	Jahre	Лет	Років
Yes	Taip	Jā	Tak	Ja	Да	Так
You pay	Mokėsite	Jūs maksāsiet	Zapłacisz	Du zahlst	К оплате	До сплати
You save	Sutaupysite	Jūs ietaupīsiet	Oszczędzasz	Du sparst	Экономия	Економія
Zeros	Nuliai	Saknes	Miejsca zerowe	Nullstellen	Нули	Нулі
or	arba	vai	lub	oder	или	або
Add to favorites	Pridėti prie mėgstamų	Pievienot izlasei	Dodaj do ulubionych	Zu Favoriten	В избранное	До обраного
Allow "Display over other apps", then tap again	Leiskite „Rodyti virš kitų programų“ ir bakstelėkite dar kartą	Atļaujiet "Rādīt pāri citām lietotnēm" un pieskarieties vēlreiz	Zezwól na „Wyświetlanie nad innymi aplikacjami”, potem dotknij ponownie	Erlaube „Über anderen Apps einblenden“ und tippe erneut	Разрешите «Поверх других приложений» и нажмите снова	Дозвольте «Поверх інших програм» і натисніть знову
App icon	Programėlės ikona	Lietotnes ikona	Ikona aplikacji	App-Symbol	Значок приложения	Значок програми
Backup	Atsarginė kopija	Rezerves kopija	Kopia zapasowa	Sicherung	Резервная копия	Резервна копія
Backup copied and saved to Downloads	Atsarginė kopija nukopijuota ir išsaugota aplanke „Atsisiuntimai“	Rezerves kopija nokopēta un saglabāta mapē Lejupielādes	Kopia skopiowana i zapisana w Pobranych	Sicherung kopiert und in Downloads gespeichert	Копия скопирована и сохранена в «Загрузки»	Копію скопійовано й збережено в «Завантаження»
Backup restored	Atsarginė kopija atkurta	Rezerves kopija atjaunota	Kopia przywrócona	Sicherung wiederhergestellt	Резервная копия восстановлена	Резервну копію відновлено
Behavior	Elgsena	Uzvedība	Zachowanie	Verhalten	Поведение	Поведінка
Beta versions	Beta versijos	Beta versijas	Wersje beta	Beta-Versionen	Бета-версии	Бета-версії
Blue	Mėlyna	Zila	Niebieski	Blau	Синий	Синій
Button size	Mygtukų dydis	Pogu izmērs	Rozmiar przycisków	Tastengröße	Размер кнопок	Розмір кнопок
Calculator	Skaičiuotuvas	Kalkulators	Kalkulator	Rechner	Калькулятор	Калькулятор
Check for updates in the background	Tikrinti naujinimus fone	Pārbaudīt atjauninājumus fonā	Sprawdzaj aktualizacje w tle	Im Hintergrund nach Updates suchen	Проверять обновления в фоне	Перевіряти оновлення у фоні
Checking…	Tikrinama…	Pārbauda…	Sprawdzanie…	Wird geprüft…	Проверка…	Перевірка…
Classic	Klasikinė	Klasiskā	Klasyczny	Klassisch	Классический	Класичний
Color	Spalva	Krāsa	Kolor	Farbe	Цвет	Колір
Could not save the file	Nepavyko išsaugoti failo	Neizdevās saglabāt failu	Nie udało się zapisać pliku	Datei konnte nicht gespeichert werden	Не удалось сохранить файл	Не вдалося зберегти файл
Could not understand the problem. Try writing it with numbers, e.g. "12 * 3 + 4".	Nepavyko suprasti uždavinio. Pabandykite parašyti skaičiais, pvz. „12 * 3 + 4“.	Neizdevās saprast uzdevumu. Mēģiniet ar cipariem, piem. "12 * 3 + 4".	Nie zrozumiano zadania. Spróbuj zapisać cyframi, np. „12 * 3 + 4”.	Aufgabe nicht verstanden. Versuche es mit Zahlen, z. B. „12 * 3 + 4“.	Не удалось понять задачу. Попробуйте цифрами, напр. «12 * 3 + 4».	Не вдалося зрозуміти задачу. Спробуйте цифрами, напр. «12 * 3 + 4».
Deleted	Ištrinta	Izdzēsts	Usunięto	Gelöscht	Удалено	Видалено
Describe the problem here:	Aprašykite problemą čia:	Aprakstiet problēmu šeit:	Opisz problem tutaj:	Beschreibe das Problem hier:	Опишите проблему здесь:	Опишіть проблему тут:
Export	Eksportuoti	Eksportēt	Eksportuj	Exportieren	Экспорт	Експорт
Extra large	Labai didelis	Ļoti liels	Bardzo duży	Sehr groß	Очень крупный	Дуже великий
Favorite	Mėgstamas	Izlase	Ulubione	Favorit	Избранное	Обране
Floating calculator	Skaičiuotuvas virš programų	Peldošs kalkulators	Pływający kalkulator	Schwebender Rechner	Плавающий калькулятор	Плаваючий калькулятор
Green	Žalia	Zaļa	Zielony	Grün	Зелёный	Зелений
High contrast	Didelis kontrastas	Augsts kontrasts	Wysoki kontrast	Hoher Kontrast	Высокий контраст	Високий контраст
Large	Didelis	Liels	Duży	Groß	Крупный	Великий
Left hand	Kairei rankai	Kreisajai rokai	Lewa ręka	Linke Hand	Левая рука	Ліва рука
Listening…	Klausomasi…	Klausās…	Słucham…	Hört zu…	Слушаю…	Слухаю…
Look	Išvaizda	Izskats	Wygląd	Aussehen	Внешний вид	Вигляд
No backup in clipboard. Tap Backup first, then copy it back.	Iškarpinėje nėra atsarginės kopijos. Pirma bakstelėkite „Atsarginė kopija“, tada nukopijuokite ją atgal.	Starpliktuvē nav rezerves kopijas. Vispirms pieskarieties "Rezerves kopija", tad nokopējiet to atpakaļ.	Brak kopii w schowku. Najpierw dotknij „Kopia zapasowa”, potem skopiuj ją z powrotem.	Keine Sicherung in der Zwischenablage. Tippe zuerst auf „Sicherung“ und kopiere sie dann zurück.	В буфере нет резервной копии. Сначала нажмите «Резервная копия», затем скопируйте её обратно.	У буфері немає резервної копії. Спершу натисніть «Резервна копія», потім скопіюйте її назад.
No internet connection	Nėra interneto ryšio	Nav interneta savienojuma	Brak połączenia z internetem	Keine Internetverbindung	Нет подключения к интернету	Немає підключення до інтернету
Normal	Įprastas	Parasts	Normalny	Normal	Обычный	Звичайний
Not supported on this phone. The app uses its own offline reader instead (simple problems only).	Šis telefonas to nepalaiko. Programėlė naudoja savo skaitytuvą be interneto (tik paprasti uždaviniai).	Šis tālrunis to neatbalsta. Lietotne izmanto savu bezsaistes lasītāju (tikai vienkārši uzdevumi).	Ten telefon tego nie obsługuje. Aplikacja używa własnego czytnika offline (tylko proste zadania).	Auf diesem Telefon nicht unterstützt. Die App nutzt ihren eigenen Offline-Leser (nur einfache Aufgaben).	Этот телефон не поддерживает. Приложение использует свой офлайн-разбор (только простые задачи).	Цей телефон не підтримує. Програма використовує власний офлайн-розбір (лише прості задачі).
OK	Gerai	Labi	OK	OK	ОК	ОК
One-hand mode	Vienos rankos režimas	Vienas rokas režīms	Tryb jednej ręki	Einhandmodus	Режим одной руки	Режим однієї руки
Open in calculator	Atidaryti skaičiuotuve	Atvērt kalkulatorā	Otwórz w kalkulatorze	Im Rechner öffnen	Открыть в калькуляторе	Відкрити в калькуляторі
Orange	Oranžinė	Oranža	Pomarańczowy	Orange	Оранжевый	Помаранчевий
Phone colors	Telefono spalvos	Tālruņa krāsas	Kolory telefonu	Telefonfarben	Цвета телефона	Кольори телефону
Press animation	Paspaudimo animacija	Nospiešanas animācija	Animacja naciśnięcia	Drück-Animation	Анимация нажатия	Анімація натискання
Problem report	Pranešimas apie klaidą	Kļūdas ziņojums	Zgłoszenie problemu	Fehlerbericht	Сообщение о проблеме	Повідомлення про проблему
Purple	Violetinė	Violeta	Fioletowy	Lila	Фиолетовый	Фіолетовий
Rate history (90 days)	Kurso istorija (90 dienų)	Kursa vēsture (90 dienas)	Historia kursu (90 dni)	Kursverlauf (90 Tage)	История курса (90 дней)	Історія курсу (90 днів)
Read results aloud	Perskaityti rezultatą balsu	Nolasīt rezultātu balsī	Czytaj wynik na głos	Ergebnis vorlesen	Читать результат вслух	Читати результат уголос
Ready on this phone. Problems are understood on the phone, nothing is sent to the internet.	Veikia šiame telefone. Uždaviniai suprantami telefone, niekas nesiunčiama į internetą.	Darbojas šajā tālrunī. Uzdevumi tiek saprasti tālrunī, nekas netiek sūtīts internetā.	Działa na tym telefonie. Zadania są rozumiane w telefonie, nic nie trafia do internetu.	Auf diesem Telefon bereit. Aufgaben werden auf dem Telefon verstanden, nichts geht ins Internet.	Готово на этом телефоне. Задачи разбираются на телефоне, ничего не отправляется в интернет.	Готово на цьому телефоні. Задачі розбираються на телефоні, нічого не надсилається в інтернет.
Red	Raudona	Sarkana	Czerwony	Rot	Красный	Червоний
Report a problem	Pranešti apie klaidą	Ziņot par kļūdu	Zgłoś problem	Problem melden	Сообщить о проблеме	Повідомити про проблему
Restore	Atkurti	Atjaunot	Przywróć	Wiederherstellen	Восстановить	Відновити
Right hand	Dešinei rankai	Labajai rokai	Prawa ręka	Rechte Hand	Правая рука	Права рука
Say or type a problem in words, e.g. "15 percent of 240" or "a book costs 12 euros, how much do 3 cost".	Pasakykite arba parašykite uždavinį žodžiais, pvz. „15 procentų nuo 240“ arba „knyga kainuoja 12 eurų, kiek kainuoja 3“.	Pasakiet vai uzrakstiet uzdevumu vārdiem, piem. "15 procenti no 240".	Powiedz lub wpisz zadanie słowami, np. „15 procent z 240”.	Sag oder schreib eine Aufgabe in Worten, z. B. „15 Prozent von 240“.	Скажите или напишите задачу словами, напр. «15 процентов от 240».	Скажіть або напишіть задачу словами, напр. «15 відсотків від 240».
Search	Paieška	Meklēt	Szukaj	Suchen	Поиск	Пошук
Share	Dalintis	Kopīgot	Udostępnij	Teilen	Поделиться	Поділитися
Small	Mažas	Mazs	Mały	Klein	Мелкий	Малий
Solve	Spręsti	Risināt	Rozwiąż	Lösen	Решить	Розв'язати
Solving…	Sprendžiama…	Risina…	Rozwiązywanie…	Wird gelöst…	Решение…	Розв'язання…
Sound on tap	Garsas paspaudus	Skaņa nospiežot	Dźwięk przy dotknięciu	Ton beim Tippen	Звук нажатия	Звук натискання
Speak	Kalbėti	Runāt	Mów	Sprechen	Сказать	Сказати
Start screen	Pradinis ekranas	Sākuma ekrāns	Ekran startowy	Startbildschirm	Начальный экран	Початковий екран
Swipe an entry sideways to delete it. ★ keeps it at the top.	Perbraukite įrašą į šoną, kad ištrintumėte. ★ palieka jį viršuje.	Pavelciet ierakstu uz sāniem, lai dzēstu. ★ notur to augšā.	Przesuń wpis w bok, aby go usunąć. ★ trzyma go na górze.	Wische einen Eintrag zur Seite, um ihn zu löschen. ★ hält ihn oben.	Смахните запись в сторону, чтобы удалить. ★ закрепляет её сверху.	Змахніть запис убік, щоб видалити. ★ закріплює його вгорі.
Tap to type	Bakstelėkite, kad rašytumėte	Pieskarieties, lai rakstītu	Dotknij, aby pisać	Zum Tippen antippen	Нажмите, чтобы ввести	Натисніть, щоб ввести
Text size	Teksto dydis	Teksta izmērs	Rozmiar tekstu	Textgröße	Размер текста	Розмір тексту
This phone supports it, but the model is still downloading. Until then the offline reader is used.	Telefonas tai palaiko, bet modelis dar atsisiunčiamas. Iki tol naudojamas skaitytuvas be interneto.	Tālrunis to atbalsta, bet modelis vēl lejupielādējas. Līdz tam tiek izmantots bezsaistes lasītājs.	Telefon to obsługuje, ale model wciąż się pobiera. Do tego czasu używany jest czytnik offline.	Das Telefon unterstützt es, aber das Modell lädt noch. Bis dahin wird der Offline-Leser genutzt.	Телефон поддерживает, но модель ещё загружается. Пока используется офлайн-разбор.	Телефон підтримує, але модель ще завантажується. Поки що використовується офлайн-розбір.
Type or say a problem first.	Pirma parašykite arba pasakykite uždavinį.	Vispirms uzrakstiet vai pasakiet uzdevumu.	Najpierw wpisz lub powiedz zadanie.	Schreib oder sag zuerst eine Aufgabe.	Сначала введите или скажите задачу.	Спершу введіть або скажіть задачу.
Understood by Gemini Nano on this phone, calculated by the app. Check that the expression matches the problem.	Suprato Gemini Nano šiame telefone, apskaičiavo programėlė. Patikrinkite, ar išraiška atitinka uždavinį.	Saprata Gemini Nano šajā tālrunī, aprēķināja lietotne. Pārbaudiet, vai izteiksme atbilst uzdevumam.	Zrozumiane przez Gemini Nano w telefonie, policzone przez aplikację. Sprawdź, czy wyrażenie pasuje do zadania.	Von Gemini Nano auf dem Telefon verstanden, von der App berechnet. Prüfe, ob der Ausdruck zur Aufgabe passt.	Понято Gemini Nano на телефоне, посчитано приложением. Проверьте, что выражение соответствует задаче.	Зрозуміло Gemini Nano на телефоні, пораховано програмою. Перевірте, що вираз відповідає задачі.
Understood offline by the app. Check that the expression matches the problem.	Programėlė suprato be interneto. Patikrinkite, ar išraiška atitinka uždavinį.	Lietotne saprata bezsaistē. Pārbaudiet, vai izteiksme atbilst uzdevumam.	Zrozumiane offline przez aplikację. Sprawdź, czy wyrażenie pasuje do zadania.	Offline von der App verstanden. Prüfe, ob der Ausdruck zur Aufgabe passt.	Понято приложением офлайн. Проверьте, что выражение соответствует задаче.	Зрозуміло програмою офлайн. Перевірте, що вираз відповідає задачі.
Updates	Naujinimai	Atjauninājumi	Aktualizacje	Updates	Обновления	Оновлення
Vibration strength	Vibracijos stiprumas	Vibrācijas stiprums	Siła wibracji	Vibrationsstärke	Сила вибрации	Сила вібрації
Voice input is not available on this phone	Balso įvedimas šiame telefone negalimas	Balss ievade šajā tālrunī nav pieejama	Wprowadzanie głosowe jest niedostępne na tym telefonie	Spracheingabe ist auf diesem Telefon nicht verfügbar	Голосовой ввод недоступен на этом телефоне	Голосове введення недоступне на цьому телефоні
What's new	Kas naujo	Kas jauns	Co nowego	Neuigkeiten	Что нового	Що нового
What's new in {}	Kas naujo {}	Kas jauns {}	Co nowego w {}	Neu in {}	Что нового в {}	Що нового в {}
Word problem	Tekstinis uždavinys	Teksta uzdevums	Zadanie tekstowe	Textaufgabe	Текстовая задача	Текстова задача
• English plus 6 more languages (Settings → Language)\n• Scientific: 2nd page with inverse and hyperbolic functions, any root and log base, mod, nCr/nPr, EE, fractions, complex numbers (i)\n• Equations: cubic, any function, inequalities (<, >), systems\n• Graphs with derivative and integral\n• Tools: loan, deposit, salary (LT), dates, time, fuel, BMI, bill split, discounts, statistics, matrices, number systems, random/dice\n• Word problems (Gemini Nano when the phone supports it, otherwise offline)\n• History: search, star, notes, export, backup, swipe to delete\n• Look: colors, phone colors, high contrast, button and text size, one-hand mode, icon choice\n• Undo/redo, cursor, Ans, M1-M5, keyboard support\n• Home screen widget, quick tile, floating calculator, voice input, reading results aloud, TalkBack support, background update check	• Anglų ir dar 6 kalbos (Nustatymai → Kalba)\n• Mokslinis: 2-as puslapis su atvirkštinėmis ir hiperbolinėmis funkcijomis, bet kokio laipsnio šaknis ir logaritmo pagrindas, mod, nCr/nPr, EE, trupmenos, kompleksiniai skaičiai (i)\n• Lygtys: kubinės, bet kokios funkcijos, nelygybės (<, >), sistemos\n• Grafikai su išvestine ir integralu\n• Įrankiai: paskola, indėlis, atlyginimas (LT), datos, laikas, kuras, KMI, sąskaitos dalijimas, nuolaidos, statistika, matricos, skaičiavimo sistemos, atsitiktinis skaičius / kauliukas\n• Tekstiniai uždaviniai (Gemini Nano, jei telefonas palaiko, kitaip be interneto)\n• Istorija: paieška, žvaigždutė, pastabos, eksportas, atsarginė kopija, trynimas braukiant\n• Išvaizda: spalvos, telefono spalvos, didelis kontrastas, mygtukų ir teksto dydis, vienos rankos režimas, ikonos pasirinkimas\n• Atšaukti / grąžinti, kursorius, Ans, M1-M5, klaviatūros palaikymas\n• Valdiklis, greita plytelė, plūduriuojantis skaičiuotuvas, balso įvedimas, rezultato skaitymas balsu, TalkBack, naujinimų tikrinimas fone	• Angļu un vēl 6 valodas\n• Zinātniskais režīms, daļskaitļi, kompleksie skaitļi\n• Vienādojumi, nevienādības, sistēmas, grafiki\n• Rīki: kredīts, depozīts, datumi, laiks, degviela, ĶMI, statistika, matricas\n• Teksta uzdevumi (Gemini Nano vai bezsaistē)\n• Vēsture: meklēšana, piezīmes, eksports, rezerves kopija\n• Izskats: krāsas, kontrasts, izmēri, vienas rokas režīms\n• Logrīks, ātrā flīze, peldošs kalkulators, balss ievade, atjauninājumi fonā	• Angielski i 6 innych języków\n• Tryb naukowy, ułamki, liczby zespolone\n• Równania, nierówności, układy, wykresy\n• Narzędzia: kredyt, lokata, daty, czas, paliwo, BMI, statystyka, macierze\n• Zadania tekstowe (Gemini Nano lub offline)\n• Historia: wyszukiwanie, notatki, eksport, kopia zapasowa\n• Wygląd: kolory, kontrast, rozmiary, tryb jednej ręki\n• Widżet, kafelek, pływający kalkulator, głos, aktualizacje w tle	• Englisch und 6 weitere Sprachen\n• Wissenschaftlich, Brüche, komplexe Zahlen\n• Gleichungen, Ungleichungen, Systeme, Graphen\n• Werkzeuge: Kredit, Sparzins, Daten, Zeit, Kraftstoff, BMI, Statistik, Matrizen\n• Textaufgaben (Gemini Nano oder offline)\n• Verlauf: Suche, Notizen, Export, Sicherung\n• Aussehen: Farben, Kontrast, Größen, Einhandmodus\n• Widget, Schnellkachel, schwebender Rechner, Spracheingabe, Updates im Hintergrund	• Английский и ещё 6 языков\n• Инженерный режим, дроби, комплексные числа\n• Уравнения, неравенства, системы, графики\n• Инструменты: кредит, вклад, даты, время, топливо, ИМТ, статистика, матрицы\n• Текстовые задачи (Gemini Nano или офлайн)\n• История: поиск, заметки, экспорт, резервная копия\n• Вид: цвета, контраст, размеры, режим одной руки\n• Виджет, плитка, плавающий калькулятор, голосовой ввод, обновления в фоне	• Англійська та ще 6 мов\n• Інженерний режим, дроби, комплексні числа\n• Рівняння, нерівності, системи, графіки\n• Інструменти: кредит, депозит, дати, час, пальне, ІМТ, статистика, матриці\n• Текстові задачі (Gemini Nano або офлайн)\n• Історія: пошук, нотатки, експорт, резервна копія\n• Вигляд: кольори, контраст, розміри, режим однієї руки\n• Віджет, плитка, плаваючий калькулятор, голосове введення, оновлення у фоні
Solve as word problem	Spręsti kaip tekstinį	Risināt kā teksta uzdevumu	Rozwiąż jako tekstowe	Als Textaufgabe lösen	Решить как текстовую	Розв'язати як текстову
Other problems in the photo	Kiti uždaviniai nuotraukoje	Citi uzdevumi fotoattēlā	Inne zadania na zdjęciu	Weitere Aufgaben im Foto	Другие задачи на фото	Інші задачі на фото
The app closed because of an error	Programėlė užsidarė dėl klaidos	Lietotne aizvērās kļūdas dēļ	Aplikacja zamknęła się z powodu błędu	Die App wurde wegen eines Fehlers geschlossen	Приложение закрылось из-за ошибки	Застосунок закрився через помилку
Please copy or share this text and send it to the developer.	Nukopijuokite arba pasidalinkite šiuo tekstu ir nusiųskite kūrėjui.	Lūdzu, nokopējiet vai kopīgojiet šo tekstu un nosūtiet to izstrādātājam.	Skopiuj lub udostępnij ten tekst i wyślij go twórcy.	Bitte kopieren oder teilen Sie diesen Text und senden Sie ihn an den Entwickler.	Скопируйте или отправьте этот текст разработчику.	Скопіюйте або надішліть цей текст розробнику.
